# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.325	0.35	0.00691913
-0.325	0.375	0.00589815
-0.325	0.4	0.00479795
-0.325	0.425	0.00364146
-0.325	0.45	0.00244692
-0.325	0.475	0.00122899
-0.325	0.5	0

-0.3	-0.5	0
-0.3	-0.475	0.000343632
-0.3	-0.45	0.000696224
-0.3	-0.425	0.00106662
-0.3	-0.4	0.001463
-0.3	-0.375	0.00189194
-0.3	-0.35	0.00235671
-0.3	-0.325	0.00285445
-0.3	-0.3	0.00337197
-0.3	-0.275	0.00387978
-0.3	-0.25	0.00432428
-0.3	-0.225	0.00461757
-0.3	-0.2	0.00462395
-0.3	-0.175	0.00414048
-0.3	-0.15	0.00286656
-0.3	-0.125	0.000354108
-0.3	-0.1	-0.00407028
-0.3	-0.075	-0.0113967
-0.3	-0.05	-0.0228719
-0.3	-0.025	-0.0388999
-0.3	0	-0.0533707
-0.3	0.025	-0.0378448
-0.3	0.05	-0.0207727
-0.3	0.075	-0.00827781
-0.3	0.1	2.62772e-05
-0.3	0.125	0.00536303
-0.3	0.15	0.00869429
-0.3	0.175	0.0106617
-0.3	0.2	0.0116811
-0.3	0.225	0.0120246
-0.3	0.25	0.0118744
-0.3	0.275	0.0113568
-0.3	0.3	0.0105631
-0.3	0.325	0.00956172
-0.3	0.35	0.00840566
-0.3	0.375	0.0071364
-0.3	0.4	0.00578637
-0.3	0.425	0.00438063
-0.3	0.45	0.00293836
-0.3	0.475	0.00147425
-0.3	0.5	0

-0.275	-0.5	0
-0.275	-0.475	0.000362294
-0.275	-0.45	0.000736541
-0.275	-0.425	0.00113509
-0.275	-0.4	0.00157058
-0.275	-0.375	0.00205537
-0.275	-0.35	0.00259992
-0.275	-0.325	0.00320968
-0.275	-0.3	0.00387978
-0.275	-0.275	0.00458713
-0.275	-0.25	0.00527943
-0.275	-0.225	0.00586066
-0.275	-0.2	0.0061712
-0.275	-0.175	0.00595708
-0.275	-0.15	0.00481392
-0.275	-0.125	0.00207153
-0.275	-0.1	-0.00346506
-0.275	-0.075	-0.0141324
-0.275	-0.05	-0.0348538
-0.275	-0.025	-0.0754776
-0.275	0	-0.142135
-0.275	0.025	-0.0742035
-0.275	0.05	-0.0323132
-0.275	0.075	-0.010344
-0.275	0.1	0.00153313
-0.275	0.125	0.00821369
-0.275	0.15	0.0119967
-0.275	0.175	0.0140326
-0.275	0.2	0.0149447
-0.275	0.225	0.0150945
-0.275	0.25	0.0147043
-0.275	0.275	0.0139198
-0.275	0.3	0.0128428
-0.275	0.325	0.0115492
-0.275	0.35	0.0100978
-0.275	0.375	0.00853454
-0.275	0.4	0.00689478
-0.275	0.425	0.00520497
-0.275	0.45	0.00348421
-0.275	0.475	0.00174598
-0.275	0.5	0

-0.25	-0.5	0
-0.25	-0.475	0.000365139
-0.25	-0.45	0.000744954
-0.25	-0.425	0.00115532
-0.25	-0.4	0.001614
-0.25	-0.375	0.00214086
-0.25	-0.35	0.00275686
-0.25	-0.325	0.00348101
-0.25	-0.3	0.00432428
-0.25	-0.275	0.00527943
-0.25	-0.25	0.00630637
-0.25	-0.225	0.00731308
-0.25	-0.2	0.0081311
-0.25	-0.175	0.00847913
-0.25	-0.15	0.00789335
-0.25	-0.125	0.00556723
-0.25	-0.1	-7.73968e-05
-0.25	-0.075	-0.0127606
-0.25	-0.05	-0.0436641
-0.25	-0.025	-0.136201
-0.25	0	-0.5
-0.25	0.025	-0.134681
-0.25	0.05	-0.0406221
-0.25	0.075	-0.00820243
-0.25	0.1	0.00597398
-0.25	0.125	0.013055
-0.25	0.15	0.016711
-0.25	0.175	0.0184569
-0.25	0.2	0.0190293
-0.25	0.225	0.0188255
-0.25	0.25	0.0180772
-0.25	0.275	0.016931
-0.25	0.3	0.0154899
-0.25	0.325	0.0138331
-0.25	0.35	0.0120238
-0.25	0.375	0.0101121
-0.25	0.4	0.00813598
-0.25	0.425	0.00612231
-0.25	0.45	0.00408882
-0.25	0.475	0.00204611
-0.25	0.5	0

-0.225	-0.5	0
-0.225	-0.475	0.000347245
-0.225	-0.45	0.000710751
-0.225	-0.425	0.00110909
-0.225	-0.4	0.00156508
-0.225	-0.375	0.0021074
-0.225	-0.35	0.00277103
-0.225	-0.325	0.0035953
-0.225	-0.3	0.00461757
-0.225	-0.275	0.00586066
-0.225	-0.25	0.00731308
-0.225	-0.225	0.00890396
-0.225	-0.2	0.0104759
-0.225	-0.175	0.0117544
-0.225	-0.15	0.0122937
-0.225	-0.125	0.0113612
-0.225	-0.1	0.00767316
-0.225	-0.075	-0.00122823
-0.225	-0.05	-0.020419
-0.225	-0.025	-0.0599156
-0.225	0	-0.125999
-0.225	0.025	-0.0581246
-0.225	0.05	-0.0168199
-0.225	0.075	0.00420241
-0.225	0.1	0.0149452
-0.225	0.125	0.0204453
-0.225	0.15	0.023094
-0.225	0.175	0.0240842
-0.225	0.2	0.024042
-0.225	0.225	0.0233072
-0.225	0.25	0.0220724
-0.225	0.275	0.0204593
-0.225	0.3	0.0185607
-0.225	0.325	0.0164558
-0.225	0.35	0.0142131
-0.225	0.375	0.0118879
