time,object,x,y,z
0.262834,Sun,-0.0476698,-0.00224464,0
0.262834,Earth,-0.0974298,1.00601,0
0.262834,Jupiter,-5.15003,-0.721713,0
0.265572,Sun,-0.0486748,-0.00231584,0
0.265572,Earth,-0.115266,1.00477,0
0.265572,Jupiter,-5.14897,-0.729181,0
0.268309,Sun,-0.0496904,-0.00238853,0
0.268309,Earth,-0.133093,1.00323,0
0.268309,Jupiter,-5.14791,-0.736647,0
0.271047,Sun,-0.0507164,-0.00246275,0
0.271047,Earth,-0.150906,1.0014,0
0.271047,Jupiter,-5.14683,-0.744112,0
0.273785,Sun,-0.0517531,-0.00253849,0
0.273785,Earth,-0.168699,0.999276,0
0.273785,Jupiter,-5.14575,-0.751575,0
0.276523,Sun,-0.0528002,-0.00261578,0
0.276523,Earth,-0.186467,0.996861,0
0.276523,Jupiter,-5.14465,-0.759036,0
0.279261,Sun,-0.0538579,-0.00269464,0
0.279261,Earth,-0.204207,0.994154,0
0.279261,Jupiter,-5.14354,-0.766495,0
0.281999,Sun,-0.0549262,-0.00277508,0
0.281999,Earth,-0.221913,0.991155,0
0.281999,Jupiter,-5.14242,-0.773953,0
0.284736,Sun,-0.0560049,-0.00285712,0
0.284736,Earth,-0.239581,0.987866,0
0.284736,Jupiter,-5.14129,-0.78141,0
0.287474,Sun,-0.0570943,-0.00294077,0
0.287474,Earth,-0.257205,0.984287,0
0.287474,Jupiter,-5.14015,-0.788864,0
0.290212,Sun,-0.0581941,-0.00302605,0
0.290212,Earth,-0.274781,0.980418,0
0.290212,Jupiter,-5.139,-0.796317,0
0.29295,Sun,-0.0593046,-0.00311297,0
0.29295,Earth,-0.292305,0.976261,0
0.29295,Jupiter,-5.13783,-0.803769,0
0.295688,Sun,-0.0604255,-0.00320156,0
0.295688,Earth,-0.30977,0.971816,0
0.295688,Jupiter,-5.13666,-0.811218,0
0.298426,Sun,-0.061557,-0.00329182,0
0.298426,Earth,-0.327173,0.967084,0
0.298426,Jupiter,-5.13547,-0.818666,0
0.301164,Sun,-0.0626991,-0.00338379,0
0.301164,Earth,-0.34451,0.962066,0
0.301164,Jupiter,-5.13427,-0.826112,0
0.303901,Sun,-0.0638517,-0.00347746,0
0.303901,Earth,-0.361774,0.956764,0
0.303901,Jupiter,-5.13307,-0.833556,0
0.306639,Sun,-0.0650149,-0.00357286,0
0.306639,Earth,-0.378961,0.951178,0
0.306639,Jupiter,-5.13185,-0.840998,0
0.309377,Sun,-0.0661887,-0.00367001,0
0.309377,Earth,-0.396068,0.945311,0
0.309377,Jupiter,-5.13062,-0.848438,0
0.312115,Sun,-0.067373,-0.00376891,0
0.312115,Earth,-0.413088,0.939162,0
0.312115,Jupiter,-5.12937,-0.855877,0
0.314853,Sun,-0.0685679,-0.0038696,0
0.314853,Earth,-0.430018,0.932734,0
0.314853,Jupiter,-5.12812,-0.863314,0
0.317591,Sun,-0.0697733,-0.00397208,0
0.317591,Earth,-0.446853,0.926028,0
0.317591,Jupiter,-5.12686,-0.870749,0
0.320329,Sun,-0.0709894,-0.00407637,0
0.320329,Earth,-0.463587,0.919046,0
0.320329,Jupiter,-5.12558,-0.878182,0
0.323066,Sun,-0.0722159,-0.00418249,0
0.323066,Earth,-0.480217,0.911789,0
0.323066,Jupiter,-5.1243,-0.885613,0
0.325804,Sun,-0.0734531,-0.00429045,0
0.325804,Earth,-0.496738,0.904259,0
0.325804,Jupiter,-5.123,-0.893042,0
0.328542,Sun,-0.0747009,-0.00440027,0
0.328542,Earth,-0.513145,0.896458,0
0.328542,Jupiter,-5.12169,-0.900469,0
0.33128,Sun,-0.0759592,-0.00451197,0
0.33128,Earth,-0.529434,0.888388,0
0.33128,Jupiter,-5.12037,-0.907894,0
0.334018,Sun,-0.0772281,-0.00462556,0
0.334018,Earth,-0.5456,0.88005,0
0.334018,Jupiter,-5.11904,-0.915318,0
0.336756,Sun,-0.0785076,-0.00474107,0
0.336756,Earth,-0.561639,0.871447,0
0.336756,Jupiter,-5.1177,-0.922739,0
0.339493,Sun,-0.0797976,-0.0048585,0
